site,date,time,lcp,fcp,ttfb,error
"http://localhost:8080","2024-11-26","07:54:56","401.2","156.3","33",""
"http://localhost:8080","2024-11-26","07:54:57","288","90.1","12.9",""
"http://localhost:8080","2024-11-26","07:54:58","284.3","93.2","9.3",""
"http://localhost:8080","2024-11-26","07:54:59","288.1","86.4","12.1",""
"http://localhost:8080","2024-11-26","07:55:00","350.1","84.4","10.9",""
"http://localhost:8080","2024-11-26","07:55:01","300.5","84.2","12.9",""
"http://localhost:8080","2024-11-26","07:55:02","311.1","83.5","13.1",""
"http://localhost:8080","2024-11-26","07:55:03","296.2","111.2","10.9",""
"http://localhost:8080","2024-11-26","07:55:04","300.6","86","9.9",""
"http://localhost:8080","2024-11-26","07:55:05","372.7","143.8","9.6",""
"http://localhost:8080","2024-11-26","07:55:06","273.3","82.6","7.4",""
"http://localhost:8080","2024-11-26","07:55:07","303.3","90.6","8.8",""
"http://localhost:8080","2024-11-26","07:55:08","281.1","87","8.8",""
"http://localhost:8080","2024-11-26","07:55:09","296.1","85.8","9.2",""
"http://localhost:8080","2024-11-26","07:55:10","288.3","86.1","10.4",""
"http://localhost:8080","2024-11-26","07:55:11","297","91.5","14",""
"http://localhost:8080","2024-11-26","07:55:12","277.4","81.4","7.7",""
"http://localhost:8080","2024-11-26","07:55:13","296","82.6","8.3",""
"http://localhost:8080","2024-11-26","07:55:14","315.6","91.8","14.5",""
"http://localhost:8080","2024-11-26","07:55:15","296.1","87.9","12.6",""
"http://localhost:8080","2024-11-26","07:55:16","291.7","80.7","8.7",""
"http://localhost:8080","2024-11-26","07:55:17","283.9","77.4","7.2",""
"http://localhost:8080","2024-11-26","07:55:18","297.9","83.8","12",""
"http://localhost:8080","2024-11-26","07:55:19","285.8","87.5","8.3",""
"http://localhost:8080","2024-11-26","07:55:20","285.6","81.3","9.6",""
"http://localhost:8080","2024-11-26","07:55:21","305.5","96","10.8",""
"http://localhost:8080","2024-11-26","07:55:22","289.6","79.6","7.9",""
"http://localhost:8080","2024-11-26","07:55:23","308.5","84.6","7.5",""
"http://localhost:8080","2024-11-26","07:55:24","290.1","81.2","9.6",""
"http://localhost:8080","2024-11-26","07:55:25","280","79.5","8.5",""
"http://localhost:8080","2024-11-26","07:55:26","274","78.5","7.9",""
"http://localhost:8080","2024-11-26","07:55:27","302.9","80.3","7.9",""
"http://localhost:8080","2024-11-26","07:55:28","292","82.6","10.5",""
"http://localhost:8080","2024-11-26","07:55:29","297.1","83.5","10.8",""
"http://localhost:8080","2024-11-26","07:55:30","285.3","81.5","10.1",""
"http://localhost:8080","2024-11-26","07:55:31","282.8","81.3","9.8",""
"http://localhost:8080","2024-11-26","07:55:32","318.3","79.4","8.5",""
"http://localhost:8080","2024-11-26","07:55:33","288.6","79.9","8",""
"http://localhost:8080","2024-11-26","07:55:34","286","80.4","9.2",""
"http://localhost:8080","2024-11-26","07:55:35","283.6","82","10.7",""
"http://localhost:8080","2024-11-26","07:55:36","286.7","80.5","8.7",""
"http://localhost:8080","2024-11-26","07:55:37","303","84.6","9.8",""
"http://localhost:8080","2024-11-26","07:55:38","289.1","82.6","8.2",""
"http://localhost:8080","2024-11-26","07:55:39","297.5","78.7","7.9",""
"http://localhost:8080","2024-11-26","07:55:40","278.5","83.4","11.3",""
"http://localhost:8080","2024-11-26","07:55:41","283.2","81.7","10.4",""
"http://localhost:8080","2024-11-26","07:55:42","279.2","84.6","9.3",""
"http://localhost:8080","2024-11-26","07:55:43","282.8","81.1","8.4",""
"http://localhost:8080","2024-11-26","07:55:44","301.4","82.2","8.3",""
"http://localhost:8080","2024-11-26","07:55:45","298.9","78.6","7.7",""